"%s and greater","%s và lớn hơn"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d (các) sản phẩm</strong> được tìm thấy theo điều kiện tìm kiếm"
"Advanced Search","Tìm kiếm nâng cao"
"Advanced Search Form","Mẫu tìm kiếm nâng cao"
"Advanced Search Result","Kết quả tìm kiếm nâng cao"
"All","Tất cả"
"Applies for ""Like"" search type only.","Chỉ áp dụng cho kiểu tìm kiếm ""Giống như""."
"Apply Layered Navigation if Search Results are Less Than","Áp dụng Điều hướng theo lớp nếu Kết quả tìm kiếm Thấp hơn"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Chỉ mục tìm kiếm liên quan đến thay đổi thiết lập thuộc tính. Vui lòng chạy quá trình <a href=""%s"">Xây dựng lại chỉ mục tìm kiếm</a>."
"Autogenerated Site Map","Tự động tạo sơ đồ trang"
"Catalog Advanced Search","Tìm kiếm danh mục hàng nâng cao"
"Catalog Search","Tìm kiếm danh mục hàng"
"Catalog Search Index","Chỉ mục tìm kiếm danh mục hàng"
"Don't see what you're looking for?","Bạn không nhận được kết quả mong muốn?"
"Enter ""0"" to enable layered navigation for any number of results.","Nhập vào ""0"" để kích hoạt điều hướng theo lớp cho bất kỳ số lượng kết quả tìm kiếm nào."
"Go","Đi đến"
"Go to Home Page","Đi đến trang chủ"
"Grid","Lưới"
"Home","Trang chủ"
"List","Danh sách"
"Maximum Query Length","Độ dài tối đa truy vấn"
"Maximum Query Words Count","Số từ tối đa trong câu truy vấn"
"Maximum Search query length is %s. Your query was cut.","Độ dài tối đa truy vấn là %s. Truy vấn của bạn đã bị cắt."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Số từ tối đa là %1$s. Truy vấn tìm kiếm của bạn bị cắt phần tiếp theo: %2$s."
"Minimal Query Length","Độ dài tối thiểu câu truy vấn"
"Minimum Search query length is %s","Độ dài tối thiểu câu truy vấn là %s"
"Modify your search","Điều chỉnh tìm kiếm của bạn"
"No","Không"
"No items were found using the following search criteria.","Không tìm thấy sản phẩm nào phù hợp với điều kiện tìm kiếm."
"Please specify at least one search term.","Hãy xác định ít nhất một từ khóa tìm kiếm."
"Popular Search Terms","Từ khóa tìm kiếm phổ biến"
"Quick Search Form","Tìm kiếm nhanh"
"Rebuild Catalog product fulltext search index","Đặt lại chỉ mục tìm kiếm đầy đủ sản phẩm trong danh mục"
"Relevance","Mức độ phù hợp"
"Results","Kết quả"
"Search","Tìm kiếm"
"Search Settings","Thiết lập tìm kiếm"
"Search Terms","Từ khóa tìm kiếm"
"Search Type","Loại tìm kiếm"
"Search entire store here...","Tìm kiếm toàn bộ cửa hàng ở đây..."
"Search results for '%s'","Tìm kiếm kết quả cho '%s'"
"Search results for: '%s'","Tìm kiếm kết quả cho: '%s'"
"Search:","Tìm kiếm:"
"Show Autocomplete Results Count","Hiển thị Đếm kết quả tự động"
"Specified date is invalid.","Ngày chỉ định không đúng."
"Subscribe to Feed","Theo dõi nguồn cấp"
"There are no search terms available.","Tìm kiếm không có sẵn."
"Yes","Có"
"Your search returns no results.","Không tìm thấy kết quả theo tìm kiếm của bạn."
"up to %s","lên đến %s"
