"3D Secure CAVV","3D CAVV an toàn"
"3D Secure Card Validation","Xác nhận thẻ 3D an toàn"
"3D Secure Cardholder Validation","Xác nhận chủ thẻ 3D an toàn"
"3D Secure Electronic Commerce Indicator","Chỉ số thương mại điện tử 3D an toàn"
"3D Secure Verification Result","Kết quả xác nhận 3D an toàn"
"3D Secure XID","3D XID an toàn"
"Card Issuer Liability","Trách nhiệm pháp lý nơi cấp thẻ"
"Card Verification","Xác thực thẻ"
"Enrolled","Đã đăng kí"
"Enrolled but Authentication Unavailable","Xác thực đăng kí không khả dụng"
"Failed","Thất bại"
"MasterCard SecureCode","Mã an toàn MasterCard"
"Merchant Liability","Trách nhiệm người mua bán"
"Not Enrolled","Không đăng kí được"
"Order cannot be placed.","Không thể đặt hàng."
"Payment information error. Please start over.","Thông tin thanh toán lỗi. Hãy bắt đầu lại."
"Please continue with placing order.","Vui lòng tiếp tục với việc đặt hàng."
"Please verify the card with the issuer bank before placing the order.","Vui lòng xác thực thẻ với ngân hàng phát hành trước khi đặt hàng."
"Please verify the card with the issuer bank:","Vui lòng xác thực thẻ với ngân hàng phát hành:"
"Start/Reset Validation...","Bắt đầu/Đặt lại Xác nhận..."
"Successful","Thành công"
"Successful attempt","Cố gắng thành công"
"The card has failed verification with the issuer bank.","Thẻ không được xác thực với ngân hàng phát hành."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Thông tin thanh toán sai hoặc đã hết thời gian cho phép. Vui lòng thử lại."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Thông tin thanh toán sai hoặc đã hết thời gian cho phép. Vui lòng thử lại."
"This card has failed validation and cannot be used.","Thẻ này không được xác nhận và không thể sử dụng."
"To ensure the security of your transactions","Để đảm bảo an toàn cho giao dịch của bạn"
"Unable to complete","Không thể hoàn thành"
"Validation failed.","Xác nhận thất bại."
"Verification Failed","Xác thực thất bại"
"Verification Successful","Xác thực thành công"
"Verification cannot be processed","Xác thực không thể tiến hành"
"Verified by Visa","Được xác thực bởi Visa"
