"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Actions XML is not valid.","Thao tác XML không đúng."
"An error occurred while opening file: ""%s"".","Có lỗi xảy ra khi mở tệp: ""%s""."
"Could not load file: ""%s"".","Không thể tải tệp: ""%s""."
"Could not save file: %s.","Không thể lưu tệp: %s."
"Declared adapter %s was not found.","Không thể tìm thấy bộ chuyển đổi đã khai báo %s."
"Destination folder ""%s"" is not a directory.","Thư mục đến ""%s"" không phải là một thư mục."
"Destination folder ""%s"" is not writable.","Thư mục đến ""%s"" không ghi được."
"Done","Hoàn thành"
"Dry run set, stopping execution.","Thiết lập chạy thô, dừng thực thi."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Có lỗi xảy ra khi lập sơ đồ các trường: không xác định được danh sách trường cho lập sơ đồ."
"File ""%s"" does not exist.","Tệp ""%s"" không tồn tại."
"Found %d rows.","Đã tìm thấy %d hàng."
"Less than a minute","Ít hơn một phút"
"Loaded successfully: ""%s"".","Tải thành công: ""%s""."
"Method ""%s"" not defined in adapter %s.","Phương pháp ""%s"" không xác định được trong bộ chuyển đổi %s."
"Method ""%s"" was not defined in adapter %s.","Phương thức ""%s"" không xác định được trong bộ chuyển đổi %s."
"Please declare ""adapter"" and ""method"" nodes first.","Vui lòng khai báo các máy chủ ""bộ chuyển đổi"" và ""phương thức"" trước."
"Profile with the same name already exists.","Hồ sơ cùng tên đã tồn tại."
"Saved successfully: ""%s"" [%d byte(s)].","Lưu thành công: ""%s"" [%d byte(s)]."
"Sheet 1","Trang tính 1"
"Skip undefined row.","Bỏ qua hàng không xác định được."
"Starting %s :: %s","Bắt đầu %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Thư mục đến ""%s"" không tồn tại hoặc không được phép tạo."
"Total records: %s","Tổng số bản ghi: %s"
"hour","giờ"
"hours","giờ"
"minute","phút"
"minutes","phút"
