"Add","Thêm"
"Add gift message for shopping cart","Thêm thông điệp quà tặng cho giỏ hàng"
"Add gift messages for quote item of shopping cart","Thêm thông điệp quà tặng cho sản phẩm gợi ý trong giỏ hàng"
"Add gift messages to products of shopping cart","Thêm thông điệp quà tặng cho sản phẩm trong giỏ hàng"
"Add gift options","Thêm tùy chọn quà tặng"
"Add gift options for Individual Items","Thêm tùy chọn quà tặng cho sản phẩm đơn lẻ"
"Add gift options for the Entire Order","Thêm tùy chọn quà tặng cho đơn hàng hiện tại"
"Add gift options.","Thêm các tùy chọn quà tặng."
"Allow Gift Messages for Order Items","Cho phép thông điệp quà tặng với sản phẩm đặt hàng"
"Allow Gift Messages on Order Level","Cho phép thông điệp quà tặng trên mức đặt hàng"
"An error occurred while saving the gift message.","Có lỗi xảy ra khi lưu thông điệp quà tặng."
"Are you sure?","Bạn có chắc không?"
"Cancel","Hủy"
"Do you have any gift items in your order?","Bạn có quà tặng nào trong đơn hàng không?"
"Edit","Sửa"
"From","Từ"
"Gift Message","Thông điệp quà tặng"
"Gift Message API","API thông điệp quà tặng"
"Gift Options","Tùy chọn quà tặng"
"Gift Options for","Tùy chọn quà tặng cho"
"Gift Options for Individual Items","Tùy chọn quà tặng cho sản phẩm đơn lẻ"
"Gift Options for the Entire Order.","Tùy chọn quà tặng cho đơn hàng hiện tại."
"Gift Options for this address.","Tùy chọn quà tặng cho địa chỉ này."
"Item %d of %d","Sản phẩm %d của %d"
"Message","Thông điệp"
"No","Không"
"OK","OK"
"Save Gift Message","Lưu thông điệp quà tặng"
"The gift message has been removed","Thông điệp quà tặng đã bị xóa"
"The gift message has been saved","Thông điệp quà tặng đã được lưu lại"
"The gift message has been saved.","Thông điệp quà tặng đã được lưu lại."
"To","Tới"
"Unknown entity type","Loại thực thể không xác định"
"Use config","Sử dụng cấu hình"
"Yes","Có"
"You can leave this box blank if you do not wish to add a gift message for the item.","Bạn có thể để trống ô này nếu bạn không muốn thêm thông điệp quà tặng cho sản phẩm."
"You can leave this box blank if you do not wish to add a gift message for this address.","Bạn có thể để trống ô này nếu bạn không muốn thêm thông điệp quà tặng cho địa chỉ này."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Bạn có thể để trống ô này nếu bạn không muốn thêm thông điệp quà tặng cho cả đơn hàng."
