"1 star","1 sao"
"2 stars","2 sao"
"3 stars","3 sao"
"4 stars","4 sao"
"5 stars","5 sao"
"Add New Rating","Thêm xếp hạng mới"
"Assigned Options","Tùy chọn đã gán"
"Be the first to review this product","Trở thành người đầu tiên xếp hạng sản phẩm này"
"Default Value","Giá trị mặc định"
"Delete Rating","Xóa xếp hạng"
"Edit Rating","Sửa xếp hạng"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Nếu bạn không xác định tiêu đề xếp hạng cho trang, giá trị mặc định sẽ được sử dụng."
"Manage Ratings","Quản lý xếp hạng"
"New Rating","Xếp hạng mới"
"Option Label","Nhãn tùy chọn"
"Option Title","Tiêu đề tùy chọn"
"Option Title:","Tiêu đề tùy chọn:"
"Please select one of each ratings above","Vui lòng lựa chọn một cho mỗi xếp hạng ở trên"
"Rating Information","Thông tin xếp hạng"
"Rating Name","Tên xếp hạng"
"Rating Options","Tùy chọn xếp hạng"
"Rating Title","Tiêu đề xếp hạng"
"Rating Visibility","Hiển thị xếp hạng"
"Rating isn't Available","Xếp hạng không khả dụng"
"Rating with the same title","Xếp hạng cùng tiêu đề"
"Save Rating","Lưu xếp hạng"
"Sort Order","Sắp xếp thứ tự"
"Visible In","Hiển thị trong"
