"Notified customer about invoice #%s.","Thông báo khách hàng về hóa đơn #%s."
"Onepay ATM Card payment","Thanh toán thẻ Onepay ATM"
"Onepay Credit Card payment","Thanh toán thẻ tín dụng Onepay Credit Card"
"Payment Methods","Phương thức thanh toán"
"Onepay ATM Cart payment","Onepay ATM Cart payment"
"Enabled","Kích hoạt"
"Title","Tiêu đề"
"Virtual Payment Client URL: ","URL Khách thanh toán ảo: "
"Merchant ID","ID Người bán"
"Merchant AccessCode","AccessCode Người bán"
"Hash code","Hash code"
"VPC Version","Phiên bản VPC"
"Command Type","Loại lệnh"
"Payment Server Display Language Locale","Ngôn ngữ hiển thị khi thanh toán"
"Currency code","Mã tiền tệ"
"Icon","Icon"
"Sort Order","Thứ tự"
"Onepay Credit Card payment ","Thanh toán thẻ Onepay Credit Card "
"Display language (VN/EN)","Ngôn ngữ hiện thị trên cổng (VN/EN)"
"Transaction No: ","Mã giao dịch: "
"You will be redirected to secure payment page when you place an order. It's available for MasterCard, Visa, American Express, JCB.","Bạn sẽ được điều hướng tới trang thanh toán bảo mật khi đặt hàng. Hỗ trợ MasterCard, Visa, American Express, JCB."
"pay","thanh toán"
